player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Inkogneeto-BloodsailBuccaneers,4/25/20,03:28:53,1587799733-34,[Fireguard Shoulders],19139,item:19139::::::::60,Mainspec,3,WARRIOR,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:16868:2487:::::::60:::::::|h[Pauldrons of Might]|h|r,,1,false,Leather,Shoulder,,Majordomo Executus
Inkogneeto-BloodsailBuccaneers,4/25/20,23:40:03,1587872403-3,[Helm of Endless Rage],19372,item:19372::::::::60,Mainspec,4,WARRIOR,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:16963:2545:::::::60:::::::|h[Helm of Wrath]|h|r,,1,false,Plate,Head,,Vaelastrasz the Corrupt
Inkogneeto-BloodsailBuccaneers,4/26/20,01:07:47,1587877667-14,[Drake Fang Talisman],19406,item:19406::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cffa335ee|Hitem:17909::::::::60:::11::::|h[Frostwolf Insignia Rank 6]|h|r,|cffa335ee|Hitem:19341::::::::60:::::::|h[Lifegiving Gem]|h|r,1,false,Miscellaneous,Trinket,,Ebonroc
Inkogneeto-BloodsailBuccaneers,5/03/20,02:30:13,1588487413-19,[Breastplate of Wrath],16966,item:16966::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16865:1892:::::::60:::::::|h[Breastplate of Might]|h|r,,1,false,Plate,Chest,,Nefarian
Inkogneeto-BloodsailBuccaneers,5/10/20,00:55:53,1589086553-12,[Drake Talon Pauldrons],19394,item:19394::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cffa335ee|Hitem:16868:2487:::::::60:::::::|h[Pauldrons of Might]|h|r,,1,false,Plate,Shoulder,,Ebonroc
Inkogneeto-BloodsailBuccaneers,5/10/20,01:12:36,1589087556-14,[Emberweave Leggings],19433,item:19433::::::::60,Mainspec,3,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:16962:2545:::::::60:::::::|h[Legplates of Wrath]|h|r,,1,false,Mail,Legs,,Flamegor
Inkogneeto-BloodsailBuccaneers,5/17/20,01:39:59,1589693999-13,[Gauntlets of Wrath],16964,item:16964::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:14551:1887:::::::60:::::::|h[Edgemaster's Handguards]|h|r,,1,false,Plate,Hands,,Flamegor
Inkogneeto-BloodsailBuccaneers,5/30/20,01:54:18,1590818058-12,[Aged Core Leather Gloves],18823,item:18823::::::::60,Minor Upgrade,3,WARRIOR,Molten Core-40 Player,Baron Geddon,9,409,40,|cffa335ee|Hitem:14551:1887:::::::60:::::::|h[Edgemaster's Handguards]|h|r,,3,false,Leather,Hands,,Baron Geddon
Inkogneeto-BloodsailBuccaneers,6/06/20,02:22:21,1591424541-17,[Schematic: Force Reactive Disk],18291,item:18291::::::::60,Mainspec,2,WARRIOR,Molten Core-40 Player,Shazzrah,9,409,40,,,1,false,Engineering,,,Shazzrah
Inkogneeto-BloodsailBuccaneers,6/20/20,01:44:51,1592631891-7,[Wristguards of Stability],19146,item:19146::::::::60,Mainspec,3,WARRIOR,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:12936:856:::::::60:::1::::|h[Battleborn Armbraces]|h|r,,1,false,Leather,Wrist,,Gehennas
Inkogneeto-BloodsailBuccaneers,6/21/20,02:02:14,1592719334-24,[Head of Nefarian],19002,item:19002::::::::60,Mainspec,0,WARRIOR,Blackwing Lair-40 Player,Nefarian,9,469,40,,,1,false,Quest,,,Nefarian
Inkogneeto-BloodsailBuccaneers,7/04/20,02:12:52,1593843172-15,[Draconic Avenger],19354,item:19354::::::::60,Offspec,2,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:18348:1900:::::::60:::11::::|h[Quel'Serrar]|h|r,|cffa335ee|Hitem:17066:929:::::::60:::::::|h[Drillborer Disk]|h|r,2,false,Two-Handed Axes,Two-Hand,,Flamegor
Inkogneeto-BloodsailBuccaneers,7/11/20,02:04:53,1594447493-13,[Bindings of the Windseeker],18563,item:18563::::::::60,Mainspec,2,WARRIOR,Molten Core-40 Player,Baron Geddon,9,409,40,,,1,false,Junk,,,Baron Geddon
Inkogneeto-BloodsailBuccaneers,7/11/20,02:55:07,1594450507-32,[Perdition's Blade],18816,item:18816::::::::60,Mainspec,2,WARRIOR,Molten Core-40 Player,Ragnaros,9,409,40,,,1,false,Daggers,One-Hand,,Ragnaros
Inkogneeto-BloodsailBuccaneers,7/18/20,02:24:07,1595053447-24,[Blastershot Launcher],17072,item:17072::::::::60,Minor Upgrade,3,WARRIOR,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:17069::::::::60:::::::|h[Striker's Mark]|h|r,,3,false,Guns,,,Golemagg the Incinerator
Inkogneeto-BloodsailBuccaneers,7/24/20,21:39:53,1595659193-24,[Onslaught Girdle],19137,item:19137::::::::60,Mainspec,4,WARRIOR,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:19149::::::::60:::::::|h[Lava Belt]|h|r,,1,false,Plate,Waist,,Ragnaros
Inkogneeto-BloodsailBuccaneers,8/01/20,19:14:17,1596341657-4,[Styleen's Impeding Scarab],19431,item:19431::::::::60,Offspec,6,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cff0070dd|Hitem:20130::::::::60:::11::::|h[Diamond Flask]|h|r,|cffa335ee|Hitem:19406::::::::60:::::::|h[Drake Fang Talisman]|h|r,2,false,Miscellaneous,Trinket,,Flamegor
Clothie-BloodsailBuccaneers,3/14/20,01:37:07,1584164227-4,[Cenarion Leggings],16835,item:16835::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,3/14/20,01:37:21,1584164241-5,[Arcanist Leggings],16796,item:16796::::::::60,Banking,1,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,2,true,Cloth,Legs,,Magmadar
Clothie-BloodsailBuccaneers,3/14/20,01:54:09,1584165249-7,[Earthfury Gauntlets],16839,item:16839::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Mail,Hands,,Gehennas
Clothie-BloodsailBuccaneers,3/14/20,02:41:19,1584168079-13,[Arcanist Mantle],16797,item:16797::::::::60,Banking,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,2,true,Cloth,Shoulder,,Baron Geddon
Clothie-BloodsailBuccaneers,3/14/20,02:54:20,1584168860-15,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,3/14/20,03:35:05,1584171305-19,[Arcanist Robes],16798,item:16798::::::::60,Banking,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,2,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,3/14/20,23:19:36,1584242376-1,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,3/21/20,01:19:25,1584767965-1,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,3/21/20,01:27:53,1584768473-2,[Eskhandar's Right Claw],18203,item:18203::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:17103:2504:::::::60:::::::|h[Azuresong Mageblade]|h|r,,1,true,Fist Weapons,Main Hand,,Magmadar
Clothie-BloodsailBuccaneers,3/21/20,01:41:10,1584769270-6,[Earthfury Gauntlets],16839,item:16839::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Mail,Hands,,Gehennas
Clothie-BloodsailBuccaneers,3/21/20,02:00:09,1584770409-8,[Nightslayer Cover],16821,item:16821::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Garr
Clothie-BloodsailBuccaneers,3/21/20,02:25:09,1584771909-14,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,3/21/20,03:01:09,1584774069-18,[Arcanist Robes],16798,item:16798::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,3/21/20,22:59:46,1584845986-0,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,3/21/20,23:46:14,1584848774-8,[Arcane Infused Gem],19336,item:19336::::::::60,Disenchant,4,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cff0070dd|Hitem:13965::::::::60:::11::::|h[Blackhand's Breadth]|h|r,|cff0070dd|Hitem:18473::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,1,true,Miscellaneous,Trinket,,Razorgore the Untamed
Clothie-BloodsailBuccaneers,3/22/20,00:29:58,1584851398-0,[Mind Quickening Gem],19339,item:19339::::::::60,Mainspec,4,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,1,false,Miscellaneous,Trinket,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,3/28/20,01:23:09,1585372989-0,[Arcanist Boots],16800,item:16800::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:11822:464:::::::60:::1::::|h[Omnicast Boots]|h|r,,1,true,Cloth,Feet,,Lucifron
Clothie-BloodsailBuccaneers,3/28/20,01:23:13,1585372993-1,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,3/28/20,01:50:59,1585374659-5,[Nightslayer Gloves],16826,item:16826::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16801:930:::::::60:::::::|h[Arcanist Gloves]|h|r,,1,true,Leather,Hands,,Gehennas
Clothie-BloodsailBuccaneers,3/28/20,02:06:01,1585375561-8,[Felheart Horns],16808,item:16808::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Garr
Clothie-BloodsailBuccaneers,3/28/20,02:58:01,1585378681-16,[Mantle of Prophecy],16816,item:16816::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Cloth,Shoulder,,Sulfuron Harbinger
Clothie-BloodsailBuccaneers,4/04/20,01:56:23,1585979783-4,[Formula: Enchant Weapon - Spell Power],18259,item:18259::::::::60,Mainspec,2,MAGE,Molten Core-40 Player,Gehennas,9,409,40,,,1,false,Enchanting,,,Gehennas
Clothie-BloodsailBuccaneers,4/04/20,03:22:20,1585984940-18,[Felheart Robes],16809,item:16809::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/04/20,03:52:08,1585986728-22,[Dalewind Trousers],13008,item:13008::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Cloth,Legs,,Ragnaros
Clothie-BloodsailBuccaneers,4/04/20,05:30:01,1585992601-0,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,,Unknown,0,0,0,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Clothie-BloodsailBuccaneers
Clothie-BloodsailBuccaneers,4/04/20,05:30:06,1585992606-1,[Cenarion Boots],16829,item:16829::::::::60,Disenchant,0,MAGE,,Unknown,0,0,0,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Leather,Feet,,Clothie-BloodsailBuccaneers
Clothie-BloodsailBuccaneers,4/05/20,00:30:58,1586061058-14,[Venomous Totem],19342,item:19342::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:19339::::::::60:::::::|h[Mind Quickening Gem]|h|r,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,1,true,Miscellaneous,Trinket,,Broodlord Lashlayer
Clothie-BloodsailBuccaneers,4/11/20,00:44:46,1586580286-0,[Pattern: Felcloth Robe],14506,item:14506::::::::60,Banking,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,true,Tailoring,,,Onyxia
Clothie-BloodsailBuccaneers,4/11/20,00:44:52,1586580292-1,[Tome of Arcane Brilliance],18600,item:18600::::::::60,Banking,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,true,Book,,,Onyxia
Clothie-BloodsailBuccaneers,4/11/20,01:29:41,1586582981-3,[Felheart Gloves],16805,item:16805::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Lucifron
Clothie-BloodsailBuccaneers,4/11/20,01:34:02,1586583242-5,[Cenarion Leggings],16835,item:16835::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,4/11/20,01:34:07,1586583247-6,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
Clothie-BloodsailBuccaneers,4/11/20,01:47:57,1586584077-11,[Gloves of Prophecy],16812,item:16812::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Gehennas
Clothie-BloodsailBuccaneers,4/11/20,02:03:27,1586585007-12,[Giantstalker's Helmet],16846,item:16846::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Mail,Head,,Garr
Clothie-BloodsailBuccaneers,4/11/20,02:04:31,1586585071-13,[Sabatons of the Flamewalker],19144,item:19144::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Mail,Feet,,Garr
Clothie-BloodsailBuccaneers,4/11/20,02:13:06,1586585586-15,[Felheart Shoulder Pads],16807,item:16807::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:11782:2483:::::::60:::1::::|h[Boreal Mantle]|h|r,,1,true,Cloth,Shoulder,,Baron Geddon
Clothie-BloodsailBuccaneers,4/11/20,02:21:08,1586586068-17,[Arcanist Gloves],16801,item:16801::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Shazzrah
Clothie-BloodsailBuccaneers,4/11/20,02:49:56,1586587796-21,[Giantstalker's Breastplate],16845,item:16845::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Mail,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/11/20,23:15:46,1586661346-2,[Gloves of Rapid Evolution],19369,item:19369::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cff0070dd|Hitem:22870::::::::60:::14::::|h[Blood Guard's Silk Handwraps]|h|r,,1,true,Cloth,Hands,,Razorgore the Untamed
Clothie-BloodsailBuccaneers,4/11/20,23:28:57,1586662137-5,[Netherwind Belt],16818,item:16818::::::::60,Disenchant,0,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,1,true,Cloth,Waist,,Vaelastrasz the Corrupt
Clothie-BloodsailBuccaneers,4/18/20,00:48:12,1587185292-2,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/18/20,01:33:51,1587188031-9,[Cenarion Boots],16829,item:16829::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Leather,Feet,,Lucifron
Clothie-BloodsailBuccaneers,4/18/20,01:47:40,1587188860-15,[Cenarion Bracers],16830,item:16830::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16799:1883:::::::60:::::::|h[Arcanist Bindings]|h|r,,1,true,Leather,Wrist,,Magmadar
Clothie-BloodsailBuccaneers,4/18/20,02:32:43,1587191563-27,[Boots of Prophecy],16811,item:16811::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:22860:851:::::::60:::14::::|h[Blood Guard's Silk Walkers]|h|r,,1,true,Cloth,Feet,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,02:42:20,1587192140-28,[Cenarion Belt],16828,item:16828::::::::60,Banking,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Leather,Waist,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,02:53:36,1587192816-29,[Cenarion Bracers],16830,item:16830::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16799:1883:::::::60:::::::|h[Arcanist Bindings]|h|r,,1,true,Leather,Wrist,,Shazzrah
Clothie-BloodsailBuccaneers,4/18/20,03:09:10,1587193750-34,[Felheart Robes],16809,item:16809::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,1,true,Cloth,Chest,,Golemagg the Incinerator
Clothie-BloodsailBuccaneers,4/19/20,01:16:33,1587273393-14,[Ringo's Blizzard Boots],19438,item:19438::::::::60,Mainspec,5,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:11822:464:::::::60:::1::::|h[Omnicast Boots]|h|r,,1,false,Cloth,Feet,,Firemaw
Clothie-BloodsailBuccaneers,4/19/20,23:16:22,1587352582-1,[Nemesis Skullcap],16929,item:16929::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Cloth,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/19/20,23:16:29,1587352589-2,[Eskhandar's Collar],18205,item:18205::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:12103::::::::60:::1::::|h[Star of Mystaria]|h|r,,1,true,Miscellaneous,Neck,,Onyxia
Clothie-BloodsailBuccaneers,4/19/20,23:17:17,1587352637-6,[Onyxia Hide Backpack],17966,item:17966::::::::60,Mainspec,2,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Bag,Bag,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,00:43:06,1587789786-0,[Bloodfang Hood],16908,item:16908::::::::60,Disenchant,0,MAGE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,1,true,Leather,Head,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,01:23:42,1587792222-7,[Giantstalker's Belt],16851,item:16851::::::::60,Banking,0,MAGE,Molten Core-40 Player,Onyxia,9,409,40,|cffa335ee|Hitem:19136::::::::60:::::::|h[Mana Igniting Cord]|h|r,,2,true,Mail,Waist,,Onyxia
Clothie-BloodsailBuccaneers,4/25/20,01:43:01,1587793381-11,[Nightslayer Pants],16822,item:16822::::::::60,Disenchant,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16915:2544:::::::60:::::::|h[Netherwind Pants]|h|r,,1,true,Leather,Legs,,Magmadar
